D:\Uni\BA\Development\data\final\netrd\SIS\timeseries_bull_1k_0.2_dontdie.pickle
D:\Uni\BA\Development\data\final\netrd\SIS\edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 1000
NUM_DYN_EPOCHS: 300
FORMAT: timeseries
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 1000
NUM_SAMPLES: 999
BATCH_SIZE: 1000
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 300
IS_CONTINUOUS: False
NUM_BATCHES: 1
USE_MAX: False
evaluating: matrix 0, run 0. Loss in Epoch 0: 0.6793489456176758
Loss in Epoch 1: 0.6766048073768616
Loss in Epoch 2: 0.6739889979362488
Loss in Epoch 3: 0.6715036034584045
Loss in Epoch 4: 0.6691548228263855
Loss in Epoch 5: 0.6669212579727173
Loss in Epoch 6: 0.6648145318031311
Loss in Epoch 7: 0.6628367900848389
Loss in Epoch 8: 0.6609989404678345
Loss in Epoch 9: 0.6592817306518555
Loss in Epoch 10: 0.6576997637748718
Loss in Epoch 11: 0.6562517881393433
Loss in Epoch 12: 0.6549243927001953
Loss in Epoch 13: 0.6537399291992188
Loss in Epoch 14: 0.6526855826377869
Loss in Epoch 15: 0.651760995388031
Loss in Epoch 16: 0.6509488224983215
Loss in Epoch 17: 0.6502376794815063
Loss in Epoch 18: 0.6496216058731079
Loss in Epoch 19: 0.6490738987922668
Loss in Epoch 20: 0.6485807299613953
Loss in Epoch 21: 0.6481070518493652
Loss in Epoch 22: 0.6476284265518188
Loss in Epoch 23: 0.6471292972564697
Loss in Epoch 24: 0.6465901732444763
Loss in Epoch 25: 0.6460232734680176
Loss in Epoch 26: 0.6454123258590698
Loss in Epoch 27: 0.6447708010673523
Loss in Epoch 28: 0.6441019773483276
Loss in Epoch 29: 0.6434201598167419
Loss in Epoch 30: 0.6427320241928101
Loss in Epoch 31: 0.6420515179634094
Loss in Epoch 32: 0.6413792371749878
Loss in Epoch 33: 0.640728235244751
Loss in Epoch 34: 0.6400951743125916
Loss in Epoch 35: 0.6394773125648499
Loss in Epoch 36: 0.6388768553733826
Loss in Epoch 37: 0.6382918357849121
Loss in Epoch 38: 0.6377167701721191
Loss in Epoch 39: 0.637148380279541
Loss in Epoch 40: 0.6365846991539001
Loss in Epoch 41: 0.6360213756561279
Loss in Epoch 42: 0.6354584693908691
Loss in Epoch 43: 0.6348940134048462
Loss in Epoch 44: 0.6343221664428711
Loss in Epoch 45: 0.6337512135505676
Loss in Epoch 46: 0.6331764459609985
Loss in Epoch 47: 0.6325977444648743
Loss in Epoch 48: 0.632016658782959
Loss in Epoch 49: 0.6314371228218079
Loss in Epoch 50: 0.6308586001396179
Loss in Epoch 51: 0.6302812695503235
Loss in Epoch 52: 0.6297069787979126
Loss in Epoch 53: 0.6291342377662659
Loss in Epoch 54: 0.6285677552223206
Loss in Epoch 55: 0.628001868724823
Loss in Epoch 56: 0.6274423599243164
Loss in Epoch 57: 0.6268834471702576
Loss in Epoch 58: 0.6263297200202942
Loss in Epoch 59: 0.6257765293121338
