../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 0, run 0. Mean loss in evaluation epoch: 0.25941818952560425, epochs needed: 10
evaluating: matrix 1, run 0. Mean loss in evaluation epoch: 0.21346358954906464, epochs needed: 10
evaluating: matrix 2, run 0. Mean loss in evaluation epoch: 0.2485167682170868, epochs needed: 10
evaluating: matrix 3, run 0. Mean loss in evaluation epoch: 0.22938545048236847, epochs needed: 10
evaluating: matrix 4, run 0. Mean loss in evaluation epoch: 0.23715518414974213, epochs needed: 10
evaluating: matrix 5, run 0. Mean loss in evaluation epoch: 0.2208300679922104, epochs needed: 10
evaluating: matrix 6, run 0. Mean loss in evaluation epoch: 0.19761592149734497, epochs needed: 10
evaluating: matrix 7, run 0. Mean loss in evaluation epoch: 0.20368726551532745, epochs needed: 10
evaluating: matrix 8, run 0. Mean loss in evaluation epoch: 0.20524385571479797, epochs needed: 10
evaluating: matrix 9, run 0. Mean loss in evaluation epoch: 0.2263776659965515, epochs needed: 10
evaluating: matrix 10, run 0. Mean loss in evaluation epoch: 0.21802851557731628, epochs needed: 10
evaluating: matrix 11, run 0. Mean loss in evaluation epoch: 0.20631709694862366, epochs needed: 10
evaluating: matrix 12, run 0. Mean loss in evaluation epoch: 0.18220126628875732, epochs needed: 10
evaluating: matrix 13, run 0. Mean loss in evaluation epoch: 0.19990535080432892, epochs needed: 10
evaluating: matrix 14, run 0. Mean loss in evaluation epoch: 0.19270366430282593, epochs needed: 10
evaluating: matrix 15, run 0. Mean loss in evaluation epoch: 0.2053261548280716, epochs needed: 10
evaluating: matrix 16, run 0. Mean loss in evaluation epoch: 0.20563086867332458, epochs needed: 10
evaluating: matrix 17, run 0. Mean loss in evaluation epoch: 0.21062956750392914, epochs needed: 10
evaluating: matrix 18, run 0. Mean loss in evaluation epoch: 0.1643056571483612, epochs needed: 10
evaluating: matrix 19, run 0. Mean loss in evaluation epoch: 0.19677294790744781, epochs needed: 10
evaluating: matrix 20, run 0. Mean loss in evaluation epoch: 0.2092200666666031, epochs needed: 10
evaluating: matrix 21, run 0. Mean loss in evaluation epoch: 0.20758037269115448, epochs needed: 10
evaluating: matrix 22, run 0. Mean loss in evaluation epoch: 0.1971435844898224, epochs needed: 10
evaluating: matrix 23, run 0. Mean loss in evaluation epoch: 0.21454907953739166, epochs needed: 10
evaluating: matrix 24, run 0. Mean loss in evaluation epoch: 0.19718655943870544, epochs needed: 10
evaluating: matrix 25, run 0. Mean loss in evaluation epoch: 0.18984127044677734, epochs needed: 10
evaluating: matrix 26, run 0. Mean loss in evaluation epoch: 0.20414429903030396, epochs needed: 10
evaluating: matrix 27, run 0. Mean loss in evaluation epoch: 0.2052455097436905, epochs needed: 10
evaluating: matrix 28, run 0. Mean loss in evaluation epoch: 0.2025483250617981, epochs needed: 10
evaluating: matrix 29, run 0. Mean loss in evaluation epoch: 0.20116938650608063, epochs needed: 10
evaluating: matrix 30, run 0. Mean loss in evaluation epoch: 0.16468749940395355, epochs needed: 10
evaluating: matrix 31, run 0. Mean loss in evaluation epoch: 0.17634089291095734, epochs needed: 10
evaluating: matrix 32, run 0. Mean loss in evaluation epoch: 0.19909384846687317, epochs needed: 10
evaluating: matrix 33, run 0. Mean loss in evaluation epoch: 0.18536338210105896, epochs needed: 10
evaluating: matrix 34, run 0. Mean loss in evaluation epoch: 0.20884262025356293, epochs needed: 10
evaluating: matrix 35, run 0. Mean loss in evaluation epoch: 0.19057174026966095, epochs needed: 10
evaluating: matrix 36, run 0. Mean loss in evaluation epoch: 0.193669393658638, epochs needed: 10
evaluating: matrix 37, run 0. Mean loss in evaluation epoch: 0.1928093135356903, epochs needed: 10
evaluating: matrix 38, run 0. Mean loss in evaluation epoch: 0.18208061158657074, epochs needed: 10
evaluating: matrix 39, run 0. Mean loss in evaluation epoch: 0.20890453457832336, epochs needed: 10
evaluating: matrix 40, run 0. Mean loss in evaluation epoch: 0.2060951590538025, epochs needed: 10
evaluating: matrix 41, run 0. Mean loss in evaluation epoch: 0.1900344043970108, epochs needed: 10
evaluating: matrix 42, run 0. Mean loss in evaluation epoch: 0.19277076423168182, epochs needed: 10
evaluating: matrix 43, run 0. Mean loss in evaluation epoch: 0.20656177401542664, epochs needed: 10
evaluating: matrix 44, run 0. Mean loss in evaluation epoch: 0.1771477907896042, epochs needed: 10
evaluating: matrix 45, run 0. Mean loss in evaluation epoch: 0.18868543207645416, epochs needed: 10
evaluating: matrix 46, run 0. Mean loss in evaluation epoch: 0.19729575514793396, epochs needed: 10
evaluating: matrix 47, run 0. Mean loss in evaluation epoch: 0.20719993114471436, epochs needed: 10
evaluating: matrix 48, run 0. Mean loss in evaluation epoch: 0.19962067902088165, epochs needed: 10
evaluating: matrix 49, run 0. Mean loss in evaluation epoch: 0.18772684037685394, epochs needed: 10
evaluating: matrix 50, run 0. Mean loss in evaluation epoch: 0.17695026099681854, epochs needed: 10
evaluating: matrix 51, run 0. Mean loss in evaluation epoch: 0.17402057349681854, epochs needed: 10
evaluating: matrix 52, run 0. Mean loss in evaluation epoch: 0.18556100130081177, epochs needed: 10
evaluating: matrix 53, run 0. Mean loss in evaluation epoch: 0.17666645348072052, epochs needed: 10
evaluating: matrix 54, run 0. Mean loss in evaluation epoch: 0.1882466971874237, epochs needed: 10
evaluating: matrix 55, run 0. Mean loss in evaluation epoch: 0.18190188705921173, epochs needed: 10
evaluating: matrix 56, run 0. Mean loss in evaluation epoch: 0.20114843547344208, epochs needed: 10
evaluating: matrix 57, run 0. Mean loss in evaluation epoch: 0.18699032068252563, epochs needed: 10
evaluating: matrix 58, run 0. Mean loss in evaluation epoch: 0.1959075927734375, epochs needed: 10
