../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 0, run 0. Mean loss in evaluation epoch: 0.4512125253677368, epochs needed: 1000
evaluating: matrix 1, run 0. Mean loss in evaluation epoch: 0.46389836072921753, epochs needed: 1000
evaluating: matrix 2, run 0. Mean loss in evaluation epoch: 0.45553332567214966, epochs needed: 1000
evaluating: matrix 3, run 0. Mean loss in evaluation epoch: 0.4523216187953949, epochs needed: 1000
evaluating: matrix 4, run 0. Mean loss in evaluation epoch: 0.44290652871131897, epochs needed: 1000
evaluating: matrix 5, run 0. Mean loss in evaluation epoch: 0.46150147914886475, epochs needed: 1000
evaluating: matrix 6, run 0. Mean loss in evaluation epoch: 0.45438191294670105, epochs needed: 1000
evaluating: matrix 7, run 0. Mean loss in evaluation epoch: 0.4595782458782196, epochs needed: 1000
evaluating: matrix 8, run 0. Mean loss in evaluation epoch: 0.4478549659252167, epochs needed: 1000
evaluating: matrix 9, run 0. Mean loss in evaluation epoch: 0.45784449577331543, epochs needed: 1000
evaluating: matrix 10, run 0. Mean loss in evaluation epoch: 0.46222642064094543, epochs needed: 1000
evaluating: matrix 11, run 0. Mean loss in evaluation epoch: 0.455110639333725, epochs needed: 1000
evaluating: matrix 12, run 0. Mean loss in evaluation epoch: 0.44008883833885193, epochs needed: 1000
evaluating: matrix 13, run 0. Mean loss in evaluation epoch: 0.46350792050361633, epochs needed: 1000
evaluating: matrix 14, run 0. Mean loss in evaluation epoch: 0.4454088509082794, epochs needed: 1000
evaluating: matrix 15, run 0. Mean loss in evaluation epoch: 0.4534178674221039, epochs needed: 1000
evaluating: matrix 16, run 0. Mean loss in evaluation epoch: 0.45785918831825256, epochs needed: 1000
evaluating: matrix 17, run 0. Mean loss in evaluation epoch: 0.4701930284500122, epochs needed: 1000
evaluating: matrix 18, run 0. Mean loss in evaluation epoch: 0.4473346471786499, epochs needed: 1000
evaluating: matrix 19, run 0. Mean loss in evaluation epoch: 0.4842427968978882, epochs needed: 1000
evaluating: matrix 20, run 0. Mean loss in evaluation epoch: 0.4767409861087799, epochs needed: 1000
evaluating: matrix 21, run 0. Mean loss in evaluation epoch: 0.4660854637622833, epochs needed: 1000
evaluating: matrix 22, run 0. Mean loss in evaluation epoch: 0.44366881251335144, epochs needed: 1000
evaluating: matrix 23, run 0. Mean loss in evaluation epoch: 0.4863578677177429, epochs needed: 1000
evaluating: matrix 24, run 0. Mean loss in evaluation epoch: 0.4722537100315094, epochs needed: 1000
evaluating: matrix 25, run 0. Mean loss in evaluation epoch: 0.4603376090526581, epochs needed: 1000
evaluating: matrix 26, run 0. Mean loss in evaluation epoch: 0.44812706112861633, epochs needed: 1000
evaluating: matrix 27, run 0. Mean loss in evaluation epoch: 0.4654690623283386, epochs needed: 1000
evaluating: matrix 28, run 0. Mean loss in evaluation epoch: 0.4526076912879944, epochs needed: 1000
evaluating: matrix 29, run 0. Mean loss in evaluation epoch: 0.4669407904148102, epochs needed: 1000
evaluating: matrix 30, run 0. Mean loss in evaluation epoch: 0.442291259765625, epochs needed: 1000
evaluating: matrix 31, run 0. Mean loss in evaluation epoch: 0.4739125370979309, epochs needed: 1000
evaluating: matrix 32, run 0. Mean loss in evaluation epoch: 0.45446354150772095, epochs needed: 1000
evaluating: matrix 33, run 0. Mean loss in evaluation epoch: 0.449851393699646, epochs needed: 1000
evaluating: matrix 34, run 0. Mean loss in evaluation epoch: 0.44655895233154297, epochs needed: 1000
evaluating: matrix 35, run 0. Mean loss in evaluation epoch: 0.45107489824295044, epochs needed: 1000
evaluating: matrix 36, run 0. Mean loss in evaluation epoch: 0.4529176950454712, epochs needed: 1000
