../data/final/netrd/SIS/timeseries_bull_5k_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 40
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 5000
NUM_TRAIN_SAMPLES: 3999
NUM_TRAIN_BATCHES: 40
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 0, run 0. Mean loss in evaluation epoch: 0.4488140046596527, epochs needed: 40
evaluating: matrix 1, run 0. Mean loss in evaluation epoch: 0.4407210350036621, epochs needed: 40
evaluating: matrix 2, run 0. Mean loss in evaluation epoch: 0.44802799820899963, epochs needed: 40
evaluating: matrix 3, run 0. Mean loss in evaluation epoch: 0.4430878162384033, epochs needed: 40
evaluating: matrix 4, run 0. Mean loss in evaluation epoch: 0.44774267077445984, epochs needed: 40
evaluating: matrix 5, run 0. Mean loss in evaluation epoch: 0.4450070559978485, epochs needed: 40
evaluating: matrix 6, run 0. Mean loss in evaluation epoch: 0.43794089555740356, epochs needed: 40
evaluating: matrix 7, run 0. Mean loss in evaluation epoch: 0.4461692273616791, epochs needed: 40
evaluating: matrix 8, run 0. Mean loss in evaluation epoch: 0.44923773407936096, epochs needed: 40
evaluating: matrix 9, run 0. Mean loss in evaluation epoch: 0.4452168643474579, epochs needed: 40
evaluating: matrix 10, run 0. Mean loss in evaluation epoch: 0.44118234515190125, epochs needed: 40
evaluating: matrix 11, run 0. Mean loss in evaluation epoch: 0.4478624761104584, epochs needed: 40
evaluating: matrix 12, run 0. Mean loss in evaluation epoch: 0.4470621645450592, epochs needed: 40
evaluating: matrix 13, run 0. Mean loss in evaluation epoch: 0.4411899149417877, epochs needed: 40
evaluating: matrix 14, run 0. Mean loss in evaluation epoch: 0.4478794038295746, epochs needed: 40
evaluating: matrix 15, run 0. Mean loss in evaluation epoch: 0.4447968602180481, epochs needed: 40
evaluating: matrix 16, run 0. Mean loss in evaluation epoch: 0.447592556476593, epochs needed: 40
evaluating: matrix 17, run 0. Mean loss in evaluation epoch: 0.44337961077690125, epochs needed: 40
evaluating: matrix 18, run 0. Mean loss in evaluation epoch: 0.4466324746608734, epochs needed: 40
evaluating: matrix 19, run 0. Mean loss in evaluation epoch: 0.43377819657325745, epochs needed: 40
evaluating: matrix 20, run 0. Mean loss in evaluation epoch: 0.4415818154811859, epochs needed: 40
evaluating: matrix 21, run 0. Mean loss in evaluation epoch: 0.44524189829826355, epochs needed: 40
evaluating: matrix 22, run 0. Mean loss in evaluation epoch: 0.4474538266658783, epochs needed: 40
evaluating: matrix 23, run 0. Mean loss in evaluation epoch: 0.44395241141319275, epochs needed: 40
evaluating: matrix 24, run 0. Mean loss in evaluation epoch: 0.437347412109375, epochs needed: 40
evaluating: matrix 25, run 0. Mean loss in evaluation epoch: 0.44536563754081726, epochs needed: 40
evaluating: matrix 26, run 0. Mean loss in evaluation epoch: 0.4481426179409027, epochs needed: 40
evaluating: matrix 27, run 0. Mean loss in evaluation epoch: 0.4447997212409973, epochs needed: 40
evaluating: matrix 28, run 0. Mean loss in evaluation epoch: 0.4482608437538147, epochs needed: 40
evaluating: matrix 29, run 0. Mean loss in evaluation epoch: 0.4444422721862793, epochs needed: 40
evaluating: matrix 30, run 0. Mean loss in evaluation epoch: 0.4490227699279785, epochs needed: 40
evaluating: matrix 31, run 0. Mean loss in evaluation epoch: 0.43880850076675415, epochs needed: 40
evaluating: matrix 32, run 0. Mean loss in evaluation epoch: 0.4416581094264984, epochs needed: 40
evaluating: matrix 33, run 0. Mean loss in evaluation epoch: 0.44697532057762146, epochs needed: 40
evaluating: matrix 34, run 0. Mean loss in evaluation epoch: 0.4413348138332367, epochs needed: 40
evaluating: matrix 35, run 0. Mean loss in evaluation epoch: 0.44570285081863403, epochs needed: 40
evaluating: matrix 36, run 0. Mean loss in evaluation epoch: 0.44661933183670044, epochs needed: 40
evaluating: matrix 37, run 0. Mean loss in evaluation epoch: 0.44843918085098267, epochs needed: 40
evaluating: matrix 38, run 0. Mean loss in evaluation epoch: 0.44461795687675476, epochs needed: 40
evaluating: matrix 39, run 0. Mean loss in evaluation epoch: 0.4410057067871094, epochs needed: 40
evaluating: matrix 40, run 0. Mean loss in evaluation epoch: 0.44907450675964355, epochs needed: 40
evaluating: matrix 41, run 0. Mean loss in evaluation epoch: 0.4488275647163391, epochs needed: 40
evaluating: matrix 42, run 0. Mean loss in evaluation epoch: 0.44781237840652466, epochs needed: 40
evaluating: matrix 43, run 0. Mean loss in evaluation epoch: 0.4397899806499481, epochs needed: 40
evaluating: matrix 44, run 0. Mean loss in evaluation epoch: 0.4397036135196686, epochs needed: 40
evaluating: matrix 45, run 0. Mean loss in evaluation epoch: 0.4493880271911621, epochs needed: 40
evaluating: matrix 46, run 0. Mean loss in evaluation epoch: 0.4425276815891266, epochs needed: 40
evaluating: matrix 47, run 0. Mean loss in evaluation epoch: 0.44885388016700745, epochs needed: 40
evaluating: matrix 48, run 0. Mean loss in evaluation epoch: 0.44149288535118103, epochs needed: 40
evaluating: matrix 49, run 0. Mean loss in evaluation epoch: 0.4455835521221161, epochs needed: 40
evaluating: matrix 50, run 0. Mean loss in evaluation epoch: 0.42741337418556213, epochs needed: 40
evaluating: matrix 51, run 0. Mean loss in evaluation epoch: 0.4419776499271393, epochs needed: 40
evaluating: matrix 52, run 0. Mean loss in evaluation epoch: 0.4481693208217621, epochs needed: 40
evaluating: matrix 53, run 0. Mean loss in evaluation epoch: 0.4404759109020233, epochs needed: 40
evaluating: matrix 54, run 0. Mean loss in evaluation epoch: 0.4390436112880707, epochs needed: 40
evaluating: matrix 55, run 0. Mean loss in evaluation epoch: 0.4454053044319153, epochs needed: 40
evaluating: matrix 56, run 0. Mean loss in evaluation epoch: 0.44402796030044556, epochs needed: 40
evaluating: matrix 57, run 0. Mean loss in evaluation epoch: 0.4401352107524872, epochs needed: 40
evaluating: matrix 58, run 0. Mean loss in evaluation epoch: 0.4367320239543915, epochs needed: 40
evaluating: matrix 59, run 0. Mean loss in evaluation epoch: 0.4455423355102539, epochs needed: 40
evaluating: matrix 60, run 0. Mean loss in evaluation epoch: 0.44699880480766296, epochs needed: 40
evaluating: matrix 61, run 0. Mean loss in evaluation epoch: 0.4499746263027191, epochs needed: 40
evaluating: matrix 62, run 0. Mean loss in evaluation epoch: 0.4376109540462494, epochs needed: 40
evaluating: matrix 63, run 0. Mean loss in evaluation epoch: 0.4481185972690582, epochs needed: 40
evaluating: matrix 64, run 0. Mean loss in evaluation epoch: 0.44948339462280273, epochs needed: 40
evaluating: matrix 65, run 0. Mean loss in evaluation epoch: 0.44311094284057617, epochs needed: 40
evaluating: matrix 66, run 0. Mean loss in evaluation epoch: 0.4426465928554535, epochs needed: 40
evaluating: matrix 67, run 0. Mean loss in evaluation epoch: 0.4440031051635742, epochs needed: 40
evaluating: matrix 68, run 0. Mean loss in evaluation epoch: 0.44699326157569885, epochs needed: 40
evaluating: matrix 69, run 0. Mean loss in evaluation epoch: 0.44243741035461426, epochs needed: 40
evaluating: matrix 70, run 0. Mean loss in evaluation epoch: 0.44697579741477966, epochs needed: 40
evaluating: matrix 71, run 0. Mean loss in evaluation epoch: 0.44472479820251465, epochs needed: 40
evaluating: matrix 72, run 0. Mean loss in evaluation epoch: 0.44810324907302856, epochs needed: 40
evaluating: matrix 73, run 0. Mean loss in evaluation epoch: 0.44694605469703674, epochs needed: 40
evaluating: matrix 74, run 0. Mean loss in evaluation epoch: 0.44210320711135864, epochs needed: 40
evaluating: matrix 75, run 0. Mean loss in evaluation epoch: 0.4454529285430908, epochs needed: 40
evaluating: matrix 76, run 0. Mean loss in evaluation epoch: 0.4466268718242645, epochs needed: 40
evaluating: matrix 77, run 0. Mean loss in evaluation epoch: 0.4431018829345703, epochs needed: 40
evaluating: matrix 78, run 0. Mean loss in evaluation epoch: 0.4460657238960266, epochs needed: 40
evaluating: matrix 79, run 0. Mean loss in evaluation epoch: 0.4439728856086731, epochs needed: 40
evaluating: matrix 80, run 0. Mean loss in evaluation epoch: 0.4461183547973633, epochs needed: 40
evaluating: matrix 81, run 0. Mean loss in evaluation epoch: 0.44104066491127014, epochs needed: 40
evaluating: matrix 82, run 0. Mean loss in evaluation epoch: 0.4475914537906647, epochs needed: 40
evaluating: matrix 83, run 0. Mean loss in evaluation epoch: 0.43664059042930603, epochs needed: 40
evaluating: matrix 84, run 0. Mean loss in evaluation epoch: 0.44697102904319763, epochs needed: 40
evaluating: matrix 85, run 0. Mean loss in evaluation epoch: 0.44146275520324707, epochs needed: 40
evaluating: matrix 86, run 0. Mean loss in evaluation epoch: 0.44597122073173523, epochs needed: 40
evaluating: matrix 87, run 0. Mean loss in evaluation epoch: 0.44050702452659607, epochs needed: 40
evaluating: matrix 88, run 0. Mean loss in evaluation epoch: 0.4471643567085266, epochs needed: 40
evaluating: matrix 89, run 0. Mean loss in evaluation epoch: 0.44545045495033264, epochs needed: 40
evaluating: matrix 90, run 0. Mean loss in evaluation epoch: 0.44761520624160767, epochs needed: 40
evaluating: matrix 91, run 0. Mean loss in evaluation epoch: 0.44305869936943054, epochs needed: 40
evaluating: matrix 92, run 0. Mean loss in evaluation epoch: 0.446855753660202, epochs needed: 40
evaluating: matrix 93, run 0. Mean loss in evaluation epoch: 0.4404716193675995, epochs needed: 40
