num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 0 - 4e763b292d202e7e. Mean loss in evaluation epoch: 0.3229973018169403, epochs needed: 20
evaluating individudal 1 - 3acf053db6ef0fc3. Mean loss in evaluation epoch: 0.3240307569503784, epochs needed: 20
evaluating individudal 2 - 79eaeab9da814de3. Mean loss in evaluation epoch: 0.32271480560302734, epochs needed: 20
evaluating individudal 3 - bc4507506e9100e1. Mean loss in evaluation epoch: 0.3230676054954529, epochs needed: 20
evaluating individudal 4 - ba5cbf48c500cf18. Mean loss in evaluation epoch: 0.3234444260597229, epochs needed: 20
evaluating individudal 5 - da96cf4eb21025c8. Mean loss in evaluation epoch: 0.32342952489852905, epochs needed: 20
evaluating individudal 6 - 28dd6828bb4601ba. Mean loss in evaluation epoch: 0.3231552839279175, epochs needed: 20
evaluating individudal 7 - b51c0af5157d2567. Mean loss in evaluation epoch: 0.32337629795074463, epochs needed: 20
evaluating individudal 8 - 4537509c227fff5e. Mean loss in evaluation epoch: 0.32258141040802, epochs needed: 20
evaluating individudal 9 - 3ced11c338511a8b. Mean loss in evaluation epoch: 0.3231915235519409, epochs needed: 20
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 4537509c227fff5e, num_times_seen_before: 0
ACC: 0.5210526315789474
TPR/FPR: 0.5, 0.474025974025974
Loss: 0.32258141040802
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 757dd77417015c4d. Mean loss in evaluation epoch: 0.32095083594322205, epochs needed: 20
evaluating individudal 1 - c8aa5f6024f6e70e. Mean loss in evaluation epoch: 0.3209162950515747, epochs needed: 20
evaluating individudal 2 - dd63f42aa1e7c032. Mean loss in evaluation epoch: 0.3197345435619354, epochs needed: 20
evaluating individudal 3 - 1f29a6adb1a3c913. Mean loss in evaluation epoch: 0.32050028443336487, epochs needed: 20
evaluating individudal 4 - f370d17b2adc5dce. Mean loss in evaluation epoch: 0.321715384721756, epochs needed: 20
evaluating individudal 5 - 7a2b171820585c24. Mean loss in evaluation epoch: 0.319980263710022, epochs needed: 20
evaluating individudal 6 - 05db60258e5a420f. Mean loss in evaluation epoch: 0.31986624002456665, epochs needed: 20
evaluating individudal 7 - 7044d2c4cf260050. Mean loss in evaluation epoch: 0.32101699709892273, epochs needed: 20
evaluating individudal 8 - 15d4ccc33ebde080. Mean loss in evaluation epoch: 0.32153865694999695, epochs needed: 20
evaluating individudal 9 - a4011319268584f9. Mean loss in evaluation epoch: 0.3200829327106476, epochs needed: 20
evaluating individudal 10 - e0af8fe01b46c582. Mean loss in evaluation epoch: 0.32067427039146423, epochs needed: 20
evaluating individudal 11 - 6b830ef199bf5bc3. Mean loss in evaluation epoch: 0.31920355558395386, epochs needed: 20
evaluating individudal 12 - e38b73d71fd6f103. Mean loss in evaluation epoch: 0.31967028975486755, epochs needed: 20
evaluating individudal 13 - 7ca518463fd51db0. Mean loss in evaluation epoch: 0.3235521614551544, epochs needed: 20
evaluating individudal 14 - 57a838a7db0924c4. Mean loss in evaluation epoch: 0.3234567940235138, epochs needed: 20
