num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - 209331bac16f0a9a. Mean loss in evaluation epoch: 0.066408172249794, epochs needed: 200
evaluating individudal 1 - 90c94e45a609d59f. Mean loss in evaluation epoch: 0.04918636381626129, epochs needed: 200
evaluating individudal 2 - f698d3a199629a17. Mean loss in evaluation epoch: 0.053682148456573486, epochs needed: 200
evaluating individudal 3 - e4d17f2ff51e5c56. Mean loss in evaluation epoch: 0.048143137246370316, epochs needed: 200
evaluating individudal 4 - 8a32e303bbe84ea6. Mean loss in evaluation epoch: 0.04816892370581627, epochs needed: 200
evaluating individudal 5 - 95ab79c96bff5a7d. Mean loss in evaluation epoch: 0.04551117122173309, epochs needed: 200
evaluating individudal 6 - 7d88475bf4133f0d. Mean loss in evaluation epoch: 0.051571279764175415, epochs needed: 200
evaluating individudal 7 - 3ccd336c6079b80d. Mean loss in evaluation epoch: 0.049971725791692734, epochs needed: 200
evaluating individudal 8 - 380fee09790c85c3. Mean loss in evaluation epoch: 0.04817819222807884, epochs needed: 200
evaluating individudal 9 - 931324f52820fbed. Mean loss in evaluation epoch: 0.05020800977945328, epochs needed: 200
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 95ab79c96bff5a7d, num_times_seen_before: 0
ACC: 0.5842105263157895
TPR/FPR: 0.6388888888888888, 0.42857142857142855
Loss: 0.04551117122173309
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - b304586781ffd0d2. Mean loss in evaluation epoch: 0.046728260815143585, epochs needed: 200
evaluating individudal 1 - 0bbba26ca60cd6ca. Mean loss in evaluation epoch: 0.04861108586192131, epochs needed: 200
evaluating individudal 2 - 9d95fcf4f87d60a1. Mean loss in evaluation epoch: 0.0487363301217556, epochs needed: 200
evaluating individudal 3 - 662013d0c1f8f319. Mean loss in evaluation epoch: 0.0503520742058754, epochs needed: 200
evaluating individudal 4 - 15c304406de973c4. Mean loss in evaluation epoch: 0.045524224638938904, epochs needed: 200
evaluating individudal 5 - ef3a5aa1e2ececdb. Mean loss in evaluation epoch: 0.049002498388290405, epochs needed: 200
evaluating individudal 6 - e53d064b0c04af7f. Mean loss in evaluation epoch: 0.045440249145030975, epochs needed: 200
evaluating individudal 7 - ff1fa5a0663efa21. Mean loss in evaluation epoch: 0.047631461173295975, epochs needed: 200
evaluating individudal 8 - 2fa2568226139ae4. Mean loss in evaluation epoch: 0.046928681433200836, epochs needed: 200
evaluating individudal 9 - 609761b066c050ad. Mean loss in evaluation epoch: 0.0554686076939106, epochs needed: 200
evaluating individudal 10 - d75a6f3991a83b26. Mean loss in evaluation epoch: 0.046510037034749985, epochs needed: 200
evaluating individudal 11 - 06eab487247401f2. Mean loss in evaluation epoch: 0.05628402158617973, epochs needed: 200
evaluating individudal 12 - 4701c2b16e9c347d. Mean loss in evaluation epoch: 0.04181814193725586, epochs needed: 200
evaluating individudal 13 - 75b617ff74de8caa. Mean loss in evaluation epoch: 0.05069408565759659, epochs needed: 200
evaluating individudal 14 - 081741e82d3b04d8. Mean loss in evaluation epoch: 0.0490594208240509, epochs needed: 200
evaluating individudal 15 - 535db01a63914d0f. Mean loss in evaluation epoch: 0.04816148057579994, epochs needed: 200
evaluating individudal 16 - 82800fea55b8ba06. Mean loss in evaluation epoch: 0.04712384194135666, epochs needed: 200
evaluating individudal 17 - 7e125f480a0e5014. Mean loss in evaluation epoch: 0.05215809866786003, epochs needed: 200
evaluating individudal 18 - 46dcac675db2e2e4. Mean loss in evaluation epoch: 0.0470961332321167, epochs needed: 200
evaluating individudal 19 - 57bb12d37291c2cc. Mean loss in evaluation epoch: 0.04484158381819725, epochs needed: 200
evaluating individudal 20 - fbd17a82a14195ab. Mean loss in evaluation epoch: 0.050947465002536774, epochs needed: 200
evaluating individudal 21 - c059c8e10f8d58b3. Mean loss in evaluation epoch: 0.04755104333162308, epochs needed: 200
evaluating individudal 22 - fa769bb6cd1d818b. Mean loss in evaluation epoch: 0.0511004738509655, epochs needed: 200
evaluating individudal 23 - 4c55025d12e5d75c. Mean loss in evaluation epoch: 0.058246858417987823, epochs needed: 200
evaluating individudal 24 - 7c0ca80a843e8b75. Mean loss in evaluation epoch: 0.04615728184580803, epochs needed: 200
evaluating individudal 25 - 15bf5011893265f0. Mean loss in evaluation epoch: 0.05985652282834053, epochs needed: 200
evaluating individudal 26 - 68395c3cda63cfdc. Mean loss in evaluation epoch: 0.043314751237630844, epochs needed: 200
evaluating individudal 27 - aa88fa165efa84c0. Mean loss in evaluation epoch: 0.06656792014837265, epochs needed: 200
evaluating individudal 28 - 81ee981e23536c79. Mean loss in evaluation epoch: 0.04511934891343117, epochs needed: 200
evaluating individudal 29 - ad63c289dc017b78. Mean loss in evaluation epoch: 0.04920751228928566, epochs needed: 200
evaluating individudal 30 - 1c16f5fd6fe16224. Mean loss in evaluation epoch: 0.0505756251513958, epochs needed: 200
evaluating individudal 31 - b2470740fc4cb53f. Mean loss in evaluation epoch: 0.04698948189616203, epochs needed: 200
