num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba50_1k_4.pickle
../data/final/edges_ba50.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - 5ad31ee666a8e6ff. Mean loss in evaluation epoch: 0.11561479419469833, epochs needed: 200
evaluating individudal 1 - 057d16aed48da3b0. Mean loss in evaluation epoch: 0.13111691176891327, epochs needed: 200
evaluating individudal 2 - 0344642c23ec41b6. Mean loss in evaluation epoch: 0.1241844892501831, epochs needed: 200
evaluating individudal 3 - 2536f400480c0930. Mean loss in evaluation epoch: 0.12345483154058456, epochs needed: 200
evaluating individudal 4 - 6a58f30e2404dea5. Mean loss in evaluation epoch: 0.1151013970375061, epochs needed: 200
evaluating individudal 5 - c54d3ce38daefac9. Mean loss in evaluation epoch: 0.11616066843271255, epochs needed: 200
evaluating individudal 6 - d60827aab569bae1. Mean loss in evaluation epoch: 0.11558735370635986, epochs needed: 200
evaluating individudal 7 - b3d7b9d8296b4c4c. Mean loss in evaluation epoch: 0.11895765364170074, epochs needed: 200
evaluating individudal 8 - fedd05d296028a0a. Mean loss in evaluation epoch: 0.1219157949090004, epochs needed: 200
evaluating individudal 9 - 47b159958b75b520. Mean loss in evaluation epoch: 0.1236703172326088, epochs needed: 200
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 6a58f30e2404dea5, num_times_seen_before: 0
ACC: 0.48081632653061224
TPR/FPR: 0.4375, 0.5155004428697962
Loss: 0.1151013970375061
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 0d3609b06b3d79e6. Mean loss in evaluation epoch: 0.12297971546649933, epochs needed: 200
evaluating individudal 1 - f39664281c70507f. Mean loss in evaluation epoch: 0.11801721900701523, epochs needed: 200
evaluating individudal 2 - 62cef05c77d704f8. Mean loss in evaluation epoch: 0.1180482730269432, epochs needed: 200
evaluating individudal 3 - 81d1017ac6d96fef. Mean loss in evaluation epoch: 0.1146325096487999, epochs needed: 200
evaluating individudal 4 - dc47fe3975c72452. Mean loss in evaluation epoch: 0.11687640100717545, epochs needed: 200
evaluating individudal 5 - 762dcda70346452c. Mean loss in evaluation epoch: 0.12480545043945312, epochs needed: 200
evaluating individudal 6 - 7566d7283c24d612. Mean loss in evaluation epoch: 0.12160314619541168, epochs needed: 200
evaluating individudal 7 - 05904cb9b4844446. Mean loss in evaluation epoch: 0.11543575674295425, epochs needed: 200
evaluating individudal 8 - c4dcb1f7339af61a. Mean loss in evaluation epoch: 0.11717622727155685, epochs needed: 200
evaluating individudal 9 - 8337f88a228e2d91. Mean loss in evaluation epoch: 0.11916383355855942, epochs needed: 200
evaluating individudal 10 - 1e1ead229f1f795c. Mean loss in evaluation epoch: 0.11619632691144943, epochs needed: 200
evaluating individudal 11 - a7c0e3848b14a856. Mean loss in evaluation epoch: 0.12057022005319595, epochs needed: 200
evaluating individudal 12 - 162bb1ae30e91380. Mean loss in evaluation epoch: 0.1259186714887619, epochs needed: 200
evaluating individudal 13 - de4de11b1f305ea2. Mean loss in evaluation epoch: 0.11551041901111603, epochs needed: 200
evaluating individudal 14 - 6db22598f42dea42. Mean loss in evaluation epoch: 0.12165556102991104, epochs needed: 200
evaluating individudal 15 - 7ee2c9c65ef4e189. Mean loss in evaluation epoch: 0.11900804191827774, epochs needed: 200
evaluating individudal 16 - 735cff5381c1416a. Mean loss in evaluation epoch: 0.12276811897754669, epochs needed: 200
evaluating individudal 17 - 97685106f39dac0b. Mean loss in evaluation epoch: 0.12782244384288788, epochs needed: 200
evaluating individudal 18 - 33f511c970c324a2. Mean loss in evaluation epoch: 0.12284433841705322, epochs needed: 200
evaluating individudal 19 - f5ba7162c876a27c. Mean loss in evaluation epoch: 0.1293148249387741, epochs needed: 200
evaluating individudal 20 - 3fb561b6f374f2cd. Mean loss in evaluation epoch: 0.12007682770490646, epochs needed: 200
evaluating individudal 21 - c9eb96fc20dba296. Mean loss in evaluation epoch: 0.11447417736053467, epochs needed: 200
evaluating individudal 22 - 9ab795ec885a31b5. Mean loss in evaluation epoch: 0.12222450971603394, epochs needed: 200
evaluating individudal 23 - b5aac9b897e8aeb8. Mean loss in evaluation epoch: 0.1277671605348587, epochs needed: 200
evaluating individudal 24 - 139947ebb02ed7f5. Mean loss in evaluation epoch: 0.11824796348810196, epochs needed: 200
evaluating individudal 25 - bf2f488b74b4c51a. Mean loss in evaluation epoch: 0.11553549766540527, epochs needed: 200
evaluating individudal 26 - 13de047fb1c16465. Mean loss in evaluation epoch: 0.11733460426330566, epochs needed: 200
evaluating individudal 27 - 12bfa3a5170c8ddf. Mean loss in evaluation epoch: 0.1217622384428978, epochs needed: 200
evaluating individudal 28 - ca8e37924b24c528. Mean loss in evaluation epoch: 0.11761392652988434, epochs needed: 200
evaluating individudal 29 - 7991e4d3dd582f78. Mean loss in evaluation epoch: 0.12274960428476334, epochs needed: 200
evaluating individudal 30 - 609f38f2e8b4cf62. Mean loss in evaluation epoch: 0.11583925783634186, epochs needed: 200
evaluating individudal 31 - d6928ea906f9a615. Mean loss in evaluation epoch: 0.11593969911336899, epochs needed: 200
evaluating individudal 32 - d690f6d9caf729ff. Mean loss in evaluation epoch: 0.11959464848041534, epochs needed: 200
evaluating individudal 33 - e9dbcadd460a541d. Mean loss in evaluation epoch: 0.11801152676343918, epochs needed: 200
evaluating individudal 34 - d2af78c3857acd81. Mean loss in evaluation epoch: 0.11932267248630524, epochs needed: 200
evaluating individudal 35 - 89156d0e7728f578. Mean loss in evaluation epoch: 0.12349864095449448, epochs needed: 200
evaluating individudal 36 - 508557b515da6b3a. Mean loss in evaluation epoch: 0.11888070404529572, epochs needed: 200
evaluating individudal 37 - 152b8e4b6b25ce28. Mean loss in evaluation epoch: 0.13085566461086273, epochs needed: 200
evaluating individudal 38 - c0076c928ebfe3b3. Mean loss in evaluation epoch: 0.12049730122089386, epochs needed: 200
evaluating individudal 39 - e200c0057608b077. Mean loss in evaluation epoch: 0.1210179328918457, epochs needed: 200
evaluating individudal 0 - 5ad31ee666a8e6ff. Mean loss in evaluation epoch: 0.12596812844276428, epochs needed: 200
evaluating individudal 1 - 057d16aed48da3b0. Mean loss in evaluation epoch: 0.11770062893629074, epochs needed: 200
evaluating individudal 2 - 0344642c23ec41b6. Mean loss in evaluation epoch: 0.12292063236236572, epochs needed: 200
evaluating individudal 3 - 2536f400480c0930. Mean loss in evaluation epoch: 0.11765222996473312, epochs needed: 200
evaluating individudal 4 - 6a58f30e2404dea5. Mean loss in evaluation epoch: 0.12269952148199081, epochs needed: 200
evaluating individudal 5 - c54d3ce38daefac9. Mean loss in evaluation epoch: 0.12259016185998917, epochs needed: 200
evaluating individudal 6 - d60827aab569bae1. Mean loss in evaluation epoch: 0.11864220350980759, epochs needed: 200
evaluating individudal 7 - b3d7b9d8296b4c4c. Mean loss in evaluation epoch: 0.11637642234563828, epochs needed: 200
evaluating individudal 8 - fedd05d296028a0a. Mean loss in evaluation epoch: 0.1179039403796196, epochs needed: 200
evaluating individudal 9 - 47b159958b75b520. Mean loss in evaluation epoch: 0.12394614517688751, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: c9eb96fc20dba296, num_times_seen_before: 0
ACC: 0.5289795918367347
TPR/FPR: 0.5104166666666666, 0.46944198405668736
Loss: 0.11447417736053467
Timestamp: 13104.58104994
---------------------------------------------------------------
evaluating individudal 0 - 9d722f0e2ce0858a. Mean loss in evaluation epoch: 0.13513962924480438, epochs needed: 50
evaluating individudal 1 - 111ce406d6342a06. Mean loss in evaluation epoch: 0.13127510249614716, epochs needed: 50
evaluating individudal 2 - 51846ef87c1eb45b. Mean loss in evaluation epoch: 0.11604826897382736, epochs needed: 50
