num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba50_1k_4.pickle
../data/final/edges_ba50.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - a9b2b29bed6a476f. Mean loss in evaluation epoch: 0.12154620885848999, epochs needed: 200
evaluating individudal 1 - 667a00f51558794f. Mean loss in evaluation epoch: 0.12652656435966492, epochs needed: 200
evaluating individudal 2 - a6cbf973bc3efc81. Mean loss in evaluation epoch: 0.11773860454559326, epochs needed: 200
evaluating individudal 3 - adc51f47dd9b5482. Mean loss in evaluation epoch: 0.11666363477706909, epochs needed: 200
evaluating individudal 4 - 00d5b993acc1edb6. Mean loss in evaluation epoch: 0.11468525230884552, epochs needed: 200
evaluating individudal 5 - dbffe9b07b60929f. Mean loss in evaluation epoch: 0.12675204873085022, epochs needed: 200
evaluating individudal 6 - 3ce8899ce758aecb. Mean loss in evaluation epoch: 0.11581187695264816, epochs needed: 200
evaluating individudal 7 - f688f29084d98403. Mean loss in evaluation epoch: 0.1270303875207901, epochs needed: 200
evaluating individudal 8 - 5589313ec345af03. Mean loss in evaluation epoch: 0.12242809683084488, epochs needed: 200
evaluating individudal 9 - e0ad8a7c676f59cf. Mean loss in evaluation epoch: 0.12636375427246094, epochs needed: 200
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 00d5b993acc1edb6, num_times_seen_before: 0
ACC: 0.5036734693877551
TPR/FPR: 0.5208333333333334, 0.4977856510186005
Loss: 0.11468525230884552
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 1fc3fc1201c23e21. Mean loss in evaluation epoch: 0.11643810570240021, epochs needed: 200
evaluating individudal 1 - 7ad07e476059b0ce. Mean loss in evaluation epoch: 0.1140243336558342, epochs needed: 200
evaluating individudal 2 - 6d6d585b66514115. Mean loss in evaluation epoch: 0.12468530982732773, epochs needed: 200
evaluating individudal 3 - 1238c4fed5e4d937. Mean loss in evaluation epoch: 0.12350969761610031, epochs needed: 200
evaluating individudal 4 - f5ff3c8d44f7e3ea. Mean loss in evaluation epoch: 0.12809397280216217, epochs needed: 200
evaluating individudal 5 - 2702b0d21b76a67a. Mean loss in evaluation epoch: 0.12657196819782257, epochs needed: 200
evaluating individudal 6 - d376cf12443c4fd2. Mean loss in evaluation epoch: 0.12648527324199677, epochs needed: 200
evaluating individudal 7 - 860df2b7f577d4db. Mean loss in evaluation epoch: 0.12779004871845245, epochs needed: 200
evaluating individudal 8 - e8052852d9f79feb. Mean loss in evaluation epoch: 0.12492942065000534, epochs needed: 200
evaluating individudal 9 - 12bc7b0550d7c6b0. Mean loss in evaluation epoch: 0.12145645916461945, epochs needed: 200
evaluating individudal 10 - 7973c4d7dba1ebed. Mean loss in evaluation epoch: 0.11637311428785324, epochs needed: 200
evaluating individudal 11 - 88d788d359742110. Mean loss in evaluation epoch: 0.11664118617773056, epochs needed: 200
evaluating individudal 12 - 68924bf5667e1b94. Mean loss in evaluation epoch: 0.12646012008190155, epochs needed: 200
evaluating individudal 13 - 51c6d6aa4b4786de. Mean loss in evaluation epoch: 0.12008976936340332, epochs needed: 200
evaluating individudal 14 - c3d2d91b77fdf86f. Mean loss in evaluation epoch: 0.11678798496723175, epochs needed: 200
evaluating individudal 15 - 19f61ceda23c4447. Mean loss in evaluation epoch: 0.11610336601734161, epochs needed: 200
evaluating individudal 16 - 3f0557d52999fb9f. Mean loss in evaluation epoch: 0.12256677448749542, epochs needed: 200
evaluating individudal 17 - f61160d025b21f94. Mean loss in evaluation epoch: 0.11648233234882355, epochs needed: 200
evaluating individudal 18 - 65d4e9c0c836a106. Mean loss in evaluation epoch: 0.12379632145166397, epochs needed: 200
evaluating individudal 19 - 74d5db2b66d12874. Mean loss in evaluation epoch: 0.13160565495491028, epochs needed: 200
evaluating individudal 20 - 47313e11b4f4ae77. Mean loss in evaluation epoch: 0.12400078773498535, epochs needed: 200
evaluating individudal 21 - 3fd655e51093fcd6. Mean loss in evaluation epoch: 0.11934882402420044, epochs needed: 200
evaluating individudal 22 - 933edd7ef269fb38. Mean loss in evaluation epoch: 0.11356101185083389, epochs needed: 200
evaluating individudal 23 - de613f0cc8d1bb93. Mean loss in evaluation epoch: 0.12304087728261948, epochs needed: 200
evaluating individudal 24 - 2c40db28bd5fba1d. Mean loss in evaluation epoch: 0.12569557130336761, epochs needed: 200
evaluating individudal 25 - 519f33938e759df2. Mean loss in evaluation epoch: 0.12235569208860397, epochs needed: 200
evaluating individudal 26 - ee7e7a65ce3a59fc. Mean loss in evaluation epoch: 0.11571907997131348, epochs needed: 200
evaluating individudal 27 - 2b56238179b5fd32. Mean loss in evaluation epoch: 0.12549999356269836, epochs needed: 200
evaluating individudal 28 - 9585c522dda2f3c7. Mean loss in evaluation epoch: 0.12553849816322327, epochs needed: 200
evaluating individudal 29 - a3dc2afa744ba8b2. Mean loss in evaluation epoch: 0.12507577240467072, epochs needed: 200
