num samples: 5000
NUM_TRAIN_SAMPLES: 4999
NUM_TRAIN_BATCHES: 50
NUM_TEST_SAMPLES: 4999
NUM_TEST_BATCHES: 50
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba10_5k_0.15.pickle
../data/final/edges_ba10.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 40
NUM_DYN_EPOCHS_INIT: 40
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
--------------------- Start training ------------------------
evaluating individudal 0 - c7d41ba99df25fe4. Mean loss in evaluation epoch: 0.38714292645454407, epochs needed: 40
evaluating individudal 1 - 513b39e909677660. Mean loss in evaluation epoch: 0.38773924112319946, epochs needed: 40
evaluating individudal 2 - f1d757060da39227. Mean loss in evaluation epoch: 0.3883194625377655, epochs needed: 40
evaluating individudal 3 - 8d35e9a40c0706de. Mean loss in evaluation epoch: 0.3860028088092804, epochs needed: 40
evaluating individudal 4 - fd6814e74c811dd0. Mean loss in evaluation epoch: 0.3839072585105896, epochs needed: 40
evaluating individudal 5 - 20bfa52dd734d1db. Mean loss in evaluation epoch: 0.3897184431552887, epochs needed: 40
evaluating individudal 6 - 07805c3fa629625b. Mean loss in evaluation epoch: 0.39024466276168823, epochs needed: 40
evaluating individudal 7 - 0c67d73ab8da61ae. Mean loss in evaluation epoch: 0.38990965485572815, epochs needed: 40
evaluating individudal 8 - 6f636f2b9754ec9f. Mean loss in evaluation epoch: 0.3875013291835785, epochs needed: 40
evaluating individudal 9 - a0df96c6bd78c155. Mean loss in evaluation epoch: 0.38607916235923767, epochs needed: 40
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: fd6814e74c811dd0, num_times_seen_before: 0
ACC: 0.4222222222222223
TPR/FPR: 0.5, 0.6206896551724138
Loss: 0.3839072585105896
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 676e97d2c15ee0ba. Mean loss in evaluation epoch: 0.3873341381549835, epochs needed: 40
evaluating individudal 1 - c5a95f9cb04f3240. Mean loss in evaluation epoch: 0.3882509171962738, epochs needed: 40
evaluating individudal 2 - 3c4effb361cb574b. Mean loss in evaluation epoch: 0.38144415616989136, epochs needed: 40
evaluating individudal 3 - 1531c16367013404. Mean loss in evaluation epoch: 0.38479697704315186, epochs needed: 40
evaluating individudal 4 - ffad2d8e5eee75ab. Mean loss in evaluation epoch: 0.3831654191017151, epochs needed: 40
evaluating individudal 5 - 06f0eadef9923cc7. Mean loss in evaluation epoch: 0.38416588306427, epochs needed: 40
evaluating individudal 6 - 4b0cb18f4a2fb99f. Mean loss in evaluation epoch: 0.3852478563785553, epochs needed: 40
evaluating individudal 7 - 9f06c5ea1a963ad9. Mean loss in evaluation epoch: 0.3828493356704712, epochs needed: 40
evaluating individudal 8 - 607cd2ce13f3191a. Mean loss in evaluation epoch: 0.3833557069301605, epochs needed: 40
evaluating individudal 9 - 2f115f48b247e23b. Mean loss in evaluation epoch: 0.3860030174255371, epochs needed: 40
evaluating individudal 10 - 1975f27d2cf96820. Mean loss in evaluation epoch: 0.38162288069725037, epochs needed: 40
evaluating individudal 11 - baaa1457ad78d158. Mean loss in evaluation epoch: 0.3849789798259735, epochs needed: 40
evaluating individudal 12 - a52a38e459e8d066. Mean loss in evaluation epoch: 0.38377901911735535, epochs needed: 40
evaluating individudal 13 - c7a24cf8c5afcfd3. Mean loss in evaluation epoch: 0.38826459646224976, epochs needed: 40
evaluating individudal 14 - f638d703f0d7fa4e. Mean loss in evaluation epoch: 0.38437482714653015, epochs needed: 40
evaluating individudal 15 - e09580bf2c3fd556. Mean loss in evaluation epoch: 0.38453108072280884, epochs needed: 40
evaluating individudal 16 - 5521db528266b81f. Mean loss in evaluation epoch: 0.3895806670188904, epochs needed: 40
evaluating individudal 17 - 8a703a87654935e6. Mean loss in evaluation epoch: 0.38138124346733093, epochs needed: 40
evaluating individudal 18 - 83c626db563dc59e. Mean loss in evaluation epoch: 0.3826034367084503, epochs needed: 40
evaluating individudal 19 - f835547b7c9b0f9a. Mean loss in evaluation epoch: 0.3818994462490082, epochs needed: 40
evaluating individudal 20 - 1a1c1ad2b47a909a. Mean loss in evaluation epoch: 0.3815467059612274, epochs needed: 40
evaluating individudal 21 - 3db57240975f91d6. Mean loss in evaluation epoch: 0.38603273034095764, epochs needed: 40
evaluating individudal 22 - 0a45e737c73f26fc. Mean loss in evaluation epoch: 0.38656914234161377, epochs needed: 40
evaluating individudal 23 - 734611520d6b7fa8. Mean loss in evaluation epoch: 0.3869306147098541, epochs needed: 40
evaluating individudal 24 - a71bb60120c70989. Mean loss in evaluation epoch: 0.38195985555648804, epochs needed: 40
evaluating individudal 25 - 50df83064a7e674a. Mean loss in evaluation epoch: 0.3848190903663635, epochs needed: 40
evaluating individudal 26 - 736e45700fb0f97b. Mean loss in evaluation epoch: 0.38334783911705017, epochs needed: 40
evaluating individudal 27 - 98d958cf7f6f92cd. Mean loss in evaluation epoch: 0.3838275074958801, epochs needed: 40
evaluating individudal 28 - 5607acf5394102d8. Mean loss in evaluation epoch: 0.38976484537124634, epochs needed: 40
evaluating individudal 29 - cbf3fbfc7308d123. Mean loss in evaluation epoch: 0.3864280581474304, epochs needed: 40
evaluating individudal 30 - 2d06692652571f5d. Mean loss in evaluation epoch: 0.3855476975440979, epochs needed: 40
evaluating individudal 31 - ecb322cc03e19542. Mean loss in evaluation epoch: 0.3872714936733246, epochs needed: 40
evaluating individudal 32 - 97e9c9f71a213da7. Mean loss in evaluation epoch: 0.38059526681900024, epochs needed: 40
evaluating individudal 33 - c378da3147559f9a. Mean loss in evaluation epoch: 0.3839653730392456, epochs needed: 40
evaluating individudal 34 - c981ee6c655e8db5. Mean loss in evaluation epoch: 0.38556161522865295, epochs needed: 40
evaluating individudal 35 - 23176be4a4f22215. Mean loss in evaluation epoch: 0.3874092400074005, epochs needed: 40
evaluating individudal 36 - 6ece8865ffbdd1f1. Mean loss in evaluation epoch: 0.38472801446914673, epochs needed: 40
evaluating individudal 37 - 04abc6d1dfad268d. Mean loss in evaluation epoch: 0.3827899992465973, epochs needed: 40
evaluating individudal 38 - 0014c0a29e573264. Mean loss in evaluation epoch: 0.38396403193473816, epochs needed: 40
evaluating individudal 39 - 7e0b415a92b99450. Mean loss in evaluation epoch: 0.38180699944496155, epochs needed: 40
evaluating individudal 0 - c7d41ba99df25fe4. Mean loss in evaluation epoch: 0.38615143299102783, epochs needed: 40
evaluating individudal 1 - 513b39e909677660. Mean loss in evaluation epoch: 0.3887283205986023, epochs needed: 40
evaluating individudal 2 - f1d757060da39227. Mean loss in evaluation epoch: 0.38731253147125244, epochs needed: 40
evaluating individudal 3 - 8d35e9a40c0706de. Mean loss in evaluation epoch: 0.386221319437027, epochs needed: 40
evaluating individudal 4 - fd6814e74c811dd0. Mean loss in evaluation epoch: 0.3842339515686035, epochs needed: 40
evaluating individudal 5 - 20bfa52dd734d1db. Mean loss in evaluation epoch: 0.3895513713359833, epochs needed: 40
evaluating individudal 6 - 07805c3fa629625b. Mean loss in evaluation epoch: 0.38903212547302246, epochs needed: 40
evaluating individudal 7 - 0c67d73ab8da61ae. Mean loss in evaluation epoch: 0.3891652524471283, epochs needed: 40
evaluating individudal 8 - 6f636f2b9754ec9f. Mean loss in evaluation epoch: 0.38769468665122986, epochs needed: 40
evaluating individudal 9 - a0df96c6bd78c155. Mean loss in evaluation epoch: 0.3845769464969635, epochs needed: 40
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 97e9c9f71a213da7, num_times_seen_before: 0
ACC: 0.3555555555555555
TPR/FPR: 0.375, 0.6551724137931034
Loss: 0.38059526681900024
Timestamp: 486.11784681599966
---------------------------------------------------------------
evaluating individudal 0 - 659032c1fb83f441. Mean loss in evaluation epoch: 0.38175585865974426, epochs needed: 40
evaluating individudal 1 - bbf6f45916530616. Mean loss in evaluation epoch: 0.38670486211776733, epochs needed: 40
evaluating individudal 2 - e223403ab2b469b2. Mean loss in evaluation epoch: 0.38506659865379333, epochs needed: 40
evaluating individudal 3 - 22e4851f078ab874. Mean loss in evaluation epoch: 0.38083091378211975, epochs needed: 40
evaluating individudal 4 - 7564dab08535dcbc. Mean loss in evaluation epoch: 0.3812880218029022, epochs needed: 40
evaluating individudal 5 - 1cda1534825c2846. Mean loss in evaluation epoch: 0.3812795877456665, epochs needed: 40
evaluating individudal 6 - a153253600add08b. Mean loss in evaluation epoch: 0.3812934458255768, epochs needed: 40
evaluating individudal 7 - 451ad0b5aaa1c53a. Mean loss in evaluation epoch: 0.3862769305706024, epochs needed: 40
evaluating individudal 8 - ff62dc3bbe5f40fd. Mean loss in evaluation epoch: 0.3818417191505432, epochs needed: 40
evaluating individudal 9 - 6b7fea834439ac10. Mean loss in evaluation epoch: 0.38029834628105164, epochs needed: 40
evaluating individudal 10 - 94f31d2571b53652. Mean loss in evaluation epoch: 0.3837142884731293, epochs needed: 40
evaluating individudal 11 - 8e171caa2ab37590. Mean loss in evaluation epoch: 0.3839595317840576, epochs needed: 40
evaluating individudal 12 - 7e514c60bfbcbaf2. Mean loss in evaluation epoch: 0.3841955065727234, epochs needed: 40
evaluating individudal 13 - a6f97780ff8767d2. Mean loss in evaluation epoch: 0.3836212158203125, epochs needed: 40
evaluating individudal 14 - 51701feb9b54d5a7. Mean loss in evaluation epoch: 0.38426297903060913, epochs needed: 40
evaluating individudal 15 - 18f240298bef50d5. Mean loss in evaluation epoch: 0.38438495993614197, epochs needed: 40
evaluating individudal 16 - 599d21dd04c28af1. Mean loss in evaluation epoch: 0.3790375292301178, epochs needed: 40
evaluating individudal 17 - aabc65fd7ba562a2. Mean loss in evaluation epoch: 0.3849940299987793, epochs needed: 40
evaluating individudal 18 - 3f9f79b894f67ec0. Mean loss in evaluation epoch: 0.3832990825176239, epochs needed: 40
