num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 0 - 6d06be3a329eb804. Mean loss in evaluation epoch: 0.32334470748901367, epochs needed: 20
evaluating individudal 1 - 19169758584bec0b. Mean loss in evaluation epoch: 0.3222273290157318, epochs needed: 20
evaluating individudal 2 - d8dfa66b169309ed. Mean loss in evaluation epoch: 0.3236447870731354, epochs needed: 20
evaluating individudal 3 - 2a5129b02e7ffe6e. Mean loss in evaluation epoch: 0.3225419819355011, epochs needed: 20
evaluating individudal 4 - 5ce2862e1b98626b. Mean loss in evaluation epoch: 0.3226688802242279, epochs needed: 20
evaluating individudal 5 - 40ec8332826ce28a. Mean loss in evaluation epoch: 0.32235702872276306, epochs needed: 20
evaluating individudal 6 - 153a119f46c2a21f. Mean loss in evaluation epoch: 0.3226359486579895, epochs needed: 20
evaluating individudal 7 - caa43bbc1113f263. Mean loss in evaluation epoch: 0.323516309261322, epochs needed: 20
evaluating individudal 8 - 0d24aabe65d748a5. Mean loss in evaluation epoch: 0.3217809200286865, epochs needed: 20
evaluating individudal 9 - cab4f031877ea6ee. Mean loss in evaluation epoch: 0.3229285478591919, epochs needed: 20
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 0d24aabe65d748a5, num_times_seen_before: 0
ACC: 0.5210526315789474
TPR/FPR: 0.6111111111111112, 0.5
Loss: 0.3217809200286865
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - aafb814c659dca2d. Mean loss in evaluation epoch: 0.3171553909778595, epochs needed: 20
evaluating individudal 1 - cca4270c1c5ec932. Mean loss in evaluation epoch: 0.3196617364883423, epochs needed: 20
evaluating individudal 2 - 8a331823f09c3e2e. Mean loss in evaluation epoch: 0.3190310001373291, epochs needed: 20
evaluating individudal 3 - afec46901b2f60d4. Mean loss in evaluation epoch: 0.320309579372406, epochs needed: 20
evaluating individudal 4 - d3fc8968eb4022d2. Mean loss in evaluation epoch: 0.31704801321029663, epochs needed: 20
evaluating individudal 5 - 4af70a121157df18. Mean loss in evaluation epoch: 0.31813886761665344, epochs needed: 20
evaluating individudal 6 - eca145142e21354e. Mean loss in evaluation epoch: 0.32056745886802673, epochs needed: 20
evaluating individudal 7 - cd611fc4a6e47461. Mean loss in evaluation epoch: 0.3203091323375702, epochs needed: 20
evaluating individudal 8 - 09cc85d3de1553f7. Mean loss in evaluation epoch: 0.32154127955436707, epochs needed: 20
evaluating individudal 9 - 2c2d5d2030a33556. Mean loss in evaluation epoch: 0.3204420506954193, epochs needed: 20
evaluating individudal 10 - 44989401f0f5ffdc. Mean loss in evaluation epoch: 0.3196163475513458, epochs needed: 20
evaluating individudal 11 - 70fada8c0071e6cd. Mean loss in evaluation epoch: 0.3185243308544159, epochs needed: 20
evaluating individudal 12 - 0b273da4038f371d. Mean loss in evaluation epoch: 0.3220366835594177, epochs needed: 20
evaluating individudal 13 - bfb3c57292378be8. Mean loss in evaluation epoch: 0.3183041214942932, epochs needed: 20
evaluating individudal 14 - 8ac95a5af09a4f4c. Mean loss in evaluation epoch: 0.3177976608276367, epochs needed: 20
evaluating individudal 15 - 8e9b6c3fe24a8e37. Mean loss in evaluation epoch: 0.31884273886680603, epochs needed: 20
evaluating individudal 16 - 0bd35afbe6807648. Mean loss in evaluation epoch: 0.31741344928741455, epochs needed: 20
evaluating individudal 17 - 36f047f27347f3b5. Mean loss in evaluation epoch: 0.31885090470314026, epochs needed: 20
evaluating individudal 18 - b9e6896f0e5a8e09. Mean loss in evaluation epoch: 0.31945985555648804, epochs needed: 20
evaluating individudal 19 - e3dc6896f8d4ddb0. Mean loss in evaluation epoch: 0.31906601786613464, epochs needed: 20
evaluating individudal 20 - 6821190790b7f05f. Mean loss in evaluation epoch: 0.3200646936893463, epochs needed: 20
evaluating individudal 21 - 59903b941706534e. Mean loss in evaluation epoch: 0.3209109902381897, epochs needed: 20
evaluating individudal 22 - 4d4370d9ddc6a2b2. Mean loss in evaluation epoch: 0.3180060088634491, epochs needed: 20
evaluating individudal 23 - d88b3bbf78665fca. Mean loss in evaluation epoch: 0.3177649676799774, epochs needed: 20
evaluating individudal 24 - 657e4dd0478e0e22. Mean loss in evaluation epoch: 0.3173818588256836, epochs needed: 20
evaluating individudal 25 - eb64db6718fb92c8. Mean loss in evaluation epoch: 0.32027536630630493, epochs needed: 20
evaluating individudal 26 - 294f6bee107bc52f. Mean loss in evaluation epoch: 0.32013586163520813, epochs needed: 20
evaluating individudal 27 - 57082144731506d7. Mean loss in evaluation epoch: 0.3189016580581665, epochs needed: 20
evaluating individudal 28 - 896c7a6e86a76b71. Mean loss in evaluation epoch: 0.32234275341033936, epochs needed: 20
evaluating individudal 29 - c6e7ee1890302369. Mean loss in evaluation epoch: 0.3206634521484375, epochs needed: 20
evaluating individudal 30 - 582ba2afba60cc6e. Mean loss in evaluation epoch: 0.31894177198410034, epochs needed: 20
evaluating individudal 31 - e7345f52a9d40f7c. Mean loss in evaluation epoch: 0.32314008474349976, epochs needed: 20
