num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 0 - ece40c73e5f33f8c. Mean loss in evaluation epoch: 0.323241263628006, epochs needed: 20
evaluating individudal 1 - 05773d440f55ada8. Mean loss in evaluation epoch: 0.32308876514434814, epochs needed: 20
evaluating individudal 2 - c5b9d533c56fa509. Mean loss in evaluation epoch: 0.32328176498413086, epochs needed: 20
evaluating individudal 3 - 90e467cc5b2ec1a3. Mean loss in evaluation epoch: 0.3237432837486267, epochs needed: 20
evaluating individudal 4 - 0a506d345fa397fa. Mean loss in evaluation epoch: 0.3233950436115265, epochs needed: 20
evaluating individudal 5 - 78c744b681e0fdd1. Mean loss in evaluation epoch: 0.3234832286834717, epochs needed: 20
evaluating individudal 6 - 2931a54003908972. Mean loss in evaluation epoch: 0.3237837851047516, epochs needed: 20
evaluating individudal 7 - d1826ec828ac2d0b. Mean loss in evaluation epoch: 0.3231813609600067, epochs needed: 20
evaluating individudal 8 - 0fef32525a4b3127. Mean loss in evaluation epoch: 0.3229620158672333, epochs needed: 20
evaluating individudal 9 - 5b0f257403ff1bec. Mean loss in evaluation epoch: 0.3233705163002014, epochs needed: 20
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 0fef32525a4b3127, num_times_seen_before: 0
ACC: 0.5105263157894737
TPR/FPR: 0.5277777777777778, 0.4935064935064935
Loss: 0.3229620158672333
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - c5f803dbaafc52de. Mean loss in evaluation epoch: 0.32068362832069397, epochs needed: 20
evaluating individudal 1 - 6412521ca5d98b66. Mean loss in evaluation epoch: 0.3186555802822113, epochs needed: 20
evaluating individudal 2 - fd406df79d0e106e. Mean loss in evaluation epoch: 0.31976065039634705, epochs needed: 20
evaluating individudal 3 - 26306225f4841d2d. Mean loss in evaluation epoch: 0.31699514389038086, epochs needed: 20
evaluating individudal 4 - 2cc7cf2c885f6fa1. Mean loss in evaluation epoch: 0.3210713267326355, epochs needed: 20
evaluating individudal 5 - 78202fc8c7e45d8a. Mean loss in evaluation epoch: 0.32013028860092163, epochs needed: 20
evaluating individudal 6 - 5477a75d7452f37d. Mean loss in evaluation epoch: 0.32145968079566956, epochs needed: 20
evaluating individudal 7 - cec1d0343e469d9f. Mean loss in evaluation epoch: 0.3189311623573303, epochs needed: 20
evaluating individudal 8 - b75e545a977e6d64. Mean loss in evaluation epoch: 0.31801074743270874, epochs needed: 20
evaluating individudal 9 - ea295c1b08c1852e. Mean loss in evaluation epoch: 0.32005852460861206, epochs needed: 20
evaluating individudal 10 - 0579dfcb82e2e7dd. Mean loss in evaluation epoch: 0.3204766511917114, epochs needed: 20
evaluating individudal 11 - 21eb01d233286e48. Mean loss in evaluation epoch: 0.3192541301250458, epochs needed: 20
evaluating individudal 12 - a567f08b1e4e21f8. Mean loss in evaluation epoch: 0.32084032893180847, epochs needed: 20
evaluating individudal 13 - 6f7f7877e6b6175c. Mean loss in evaluation epoch: 0.3202977776527405, epochs needed: 20
evaluating individudal 14 - 86b376bc38ef036a. Mean loss in evaluation epoch: 0.3203907608985901, epochs needed: 20
evaluating individudal 15 - af65f5a3ead98d17. Mean loss in evaluation epoch: 0.3198745548725128, epochs needed: 20
evaluating individudal 16 - a39f056c2e6f0b3f. Mean loss in evaluation epoch: 0.3211657404899597, epochs needed: 20
evaluating individudal 17 - 0648e40c2f650d58. Mean loss in evaluation epoch: 0.31953632831573486, epochs needed: 20
evaluating individudal 18 - ae7d5a94504d0494. Mean loss in evaluation epoch: 0.32073429226875305, epochs needed: 20
evaluating individudal 19 - cc993c5e29bf337f. Mean loss in evaluation epoch: 0.31945574283599854, epochs needed: 20
evaluating individudal 20 - 5b00f50c2894cf45. Mean loss in evaluation epoch: 0.32008856534957886, epochs needed: 20
evaluating individudal 21 - 55da3442c282b2cf. Mean loss in evaluation epoch: 0.3205776810646057, epochs needed: 20
evaluating individudal 22 - 62177686c64b457b. Mean loss in evaluation epoch: 0.3177359998226166, epochs needed: 20
evaluating individudal 23 - 51e045b1f1504415. Mean loss in evaluation epoch: 0.31993338465690613, epochs needed: 20
evaluating individudal 24 - 3a8581cdab88c06d. Mean loss in evaluation epoch: 0.32121551036834717, epochs needed: 20
evaluating individudal 25 - 947153fb82c22623. Mean loss in evaluation epoch: 0.3231595456600189, epochs needed: 20
evaluating individudal 26 - 776ac2270be8e3dd. Mean loss in evaluation epoch: 0.32213446497917175, epochs needed: 20
evaluating individudal 27 - b44d1198f74db6bf. Mean loss in evaluation epoch: 0.31745636463165283, epochs needed: 20
evaluating individudal 28 - af2c0c12e501ba74. Mean loss in evaluation epoch: 0.3226156234741211, epochs needed: 20
evaluating individudal 29 - 73aefc102adb325a. Mean loss in evaluation epoch: 0.32021647691726685, epochs needed: 20
evaluating individudal 30 - 1b288fa290784ed4. Mean loss in evaluation epoch: 0.3197643458843231, epochs needed: 20
evaluating individudal 31 - 840046dcded378ee. Mean loss in evaluation epoch: 0.3205191493034363, epochs needed: 20
evaluating individudal 32 - e61ed95ce6ff85b2. Mean loss in evaluation epoch: 0.3198075592517853, epochs needed: 20
evaluating individudal 33 - 5b837b3494704b64. Mean loss in evaluation epoch: 0.32021820545196533, epochs needed: 20
evaluating individudal 34 - 7840fd58d8c49285. Mean loss in evaluation epoch: 0.3210729956626892, epochs needed: 20
evaluating individudal 35 - 26e54c3d8b536cde. Mean loss in evaluation epoch: 0.32130593061447144, epochs needed: 20
evaluating individudal 36 - 038d5cc066887ff0. Mean loss in evaluation epoch: 0.3196808099746704, epochs needed: 20
evaluating individudal 37 - 93e2315681ab911e. Mean loss in evaluation epoch: 0.3198457956314087, epochs needed: 20
evaluating individudal 38 - a66790518b55f6e0. Mean loss in evaluation epoch: 0.3201681077480316, epochs needed: 20
evaluating individudal 39 - dcfd7eaea5c04e56. Mean loss in evaluation epoch: 0.32136374711990356, epochs needed: 20
evaluating individudal 0 - ece40c73e5f33f8c. Mean loss in evaluation epoch: 0.32323500514030457, epochs needed: 20
evaluating individudal 1 - 05773d440f55ada8. Mean loss in evaluation epoch: 0.3231775462627411, epochs needed: 20
