num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - 19f36eff10d22637. Mean loss in evaluation epoch: 0.04947890713810921, epochs needed: 200
evaluating individudal 1 - b4dafaeae60f5fb2. Mean loss in evaluation epoch: 0.052007269114255905, epochs needed: 200
evaluating individudal 2 - 5893f1f7560e648d. Mean loss in evaluation epoch: 0.05047808215022087, epochs needed: 200
evaluating individudal 3 - f37ea4f488b3820c. Mean loss in evaluation epoch: 0.0518406517803669, epochs needed: 200
evaluating individudal 4 - 873b06e231163d6b. Mean loss in evaluation epoch: 0.0493072010576725, epochs needed: 200
evaluating individudal 5 - 2106646505a80567. Mean loss in evaluation epoch: 0.04950523003935814, epochs needed: 200
evaluating individudal 6 - 40e3f8e3e3676443. Mean loss in evaluation epoch: 0.05752838775515556, epochs needed: 200
evaluating individudal 7 - 46aefc0acfe6cca0. Mean loss in evaluation epoch: 0.050311196595430374, epochs needed: 200
evaluating individudal 8 - 5a4a61000d44bb3b. Mean loss in evaluation epoch: 0.047181662172079086, epochs needed: 200
evaluating individudal 9 - a6e0e1853aba7785. Mean loss in evaluation epoch: 0.048492684960365295, epochs needed: 200
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 5a4a61000d44bb3b, num_times_seen_before: 0
ACC: 0.5526315789473684
TPR/FPR: 0.4722222222222222, 0.42857142857142855
Loss: 0.047181662172079086
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 09a69e50ea4f920c. Mean loss in evaluation epoch: 0.049243342131376266, epochs needed: 200
evaluating individudal 1 - 6d720787f30edaaf. Mean loss in evaluation epoch: 0.056003082543611526, epochs needed: 200
evaluating individudal 2 - 41c65537b51524c1. Mean loss in evaluation epoch: 0.04888688400387764, epochs needed: 200
evaluating individudal 3 - ff1dc3e7477e1eff. Mean loss in evaluation epoch: 0.05738013610243797, epochs needed: 200
evaluating individudal 4 - 175ec56c692f2e58. Mean loss in evaluation epoch: 0.04288310930132866, epochs needed: 200
evaluating individudal 5 - 128e89ff9c21f782. Mean loss in evaluation epoch: 0.057876866310834885, epochs needed: 200
evaluating individudal 6 - 195f52a7f684b569. Mean loss in evaluation epoch: 0.052434831857681274, epochs needed: 200
evaluating individudal 7 - b0fdf293cd47d269. Mean loss in evaluation epoch: 0.047160279005765915, epochs needed: 200
evaluating individudal 8 - b4328fb11c5d7580. Mean loss in evaluation epoch: 0.04840314760804176, epochs needed: 200
evaluating individudal 9 - 138e5ca8b2ee30b8. Mean loss in evaluation epoch: 0.051686324179172516, epochs needed: 200
evaluating individudal 10 - 7f6a92006f97bc62. Mean loss in evaluation epoch: 0.04342469945549965, epochs needed: 200
evaluating individudal 11 - 85ce132bcd5275e9. Mean loss in evaluation epoch: 0.04460284858942032, epochs needed: 200
evaluating individudal 12 - 7dfbcc8c09be576f. Mean loss in evaluation epoch: 0.04867522045969963, epochs needed: 200
evaluating individudal 13 - e4fe9a31208054c1. Mean loss in evaluation epoch: 0.05526411533355713, epochs needed: 200
evaluating individudal 14 - 66da42fc30f8ac12. Mean loss in evaluation epoch: 0.04906619340181351, epochs needed: 200
evaluating individudal 15 - b6606858a8eabd31. Mean loss in evaluation epoch: 0.05401086434721947, epochs needed: 200
evaluating individudal 16 - 289ddf4da6956f5d. Mean loss in evaluation epoch: 0.04677733778953552, epochs needed: 200
evaluating individudal 17 - d343bcb05ef4025f. Mean loss in evaluation epoch: 0.045885831117630005, epochs needed: 200
evaluating individudal 18 - 842db52517994448. Mean loss in evaluation epoch: 0.050496507436037064, epochs needed: 200
evaluating individudal 19 - ac815b3dd21b7879. Mean loss in evaluation epoch: 0.053760576993227005, epochs needed: 200
evaluating individudal 20 - e37e9afb551c7f16. Mean loss in evaluation epoch: 0.0448983795940876, epochs needed: 200
evaluating individudal 21 - 9817396de619fa3a. Mean loss in evaluation epoch: 0.05171375349164009, epochs needed: 200
evaluating individudal 22 - 78bc303911880c91. Mean loss in evaluation epoch: 0.051364339888095856, epochs needed: 200
evaluating individudal 23 - ce2ccccbb31a7ee7. Mean loss in evaluation epoch: 0.04799855872988701, epochs needed: 200
evaluating individudal 24 - 36ecee13ffce6a83. Mean loss in evaluation epoch: 0.04850468784570694, epochs needed: 200
evaluating individudal 25 - 6c4ca23e64445124. Mean loss in evaluation epoch: 0.04767509922385216, epochs needed: 200
evaluating individudal 26 - 475ac3eaeb45cf24. Mean loss in evaluation epoch: 0.04703501611948013, epochs needed: 200
evaluating individudal 27 - ac093b9d0c0fc230. Mean loss in evaluation epoch: 0.0459706149995327, epochs needed: 200
evaluating individudal 28 - 33858934fe17c501. Mean loss in evaluation epoch: 0.052645862102508545, epochs needed: 200
evaluating individudal 29 - fa10044f2787623d. Mean loss in evaluation epoch: 0.044898442924022675, epochs needed: 200
evaluating individudal 30 - 3d0e81f0f8bdb9ba. Mean loss in evaluation epoch: 0.055702414363622665, epochs needed: 200
evaluating individudal 31 - da9ac4270e52fa1c. Mean loss in evaluation epoch: 0.04581931233406067, epochs needed: 200
evaluating individudal 32 - 76acecff610d53b0. Mean loss in evaluation epoch: 0.057824838906526566, epochs needed: 200
evaluating individudal 33 - fc17a8c1abf1a54d. Mean loss in evaluation epoch: 0.048055559396743774, epochs needed: 200
evaluating individudal 34 - 02dfcc05e4bfd943. Mean loss in evaluation epoch: 0.05338652804493904, epochs needed: 200
evaluating individudal 35 - 9b1262378aebc763. Mean loss in evaluation epoch: 0.04854283481836319, epochs needed: 200
evaluating individudal 36 - ef3031f06e57f093. Mean loss in evaluation epoch: 0.04679900035262108, epochs needed: 200
evaluating individudal 37 - 446de6fb71ed20e0. Mean loss in evaluation epoch: 0.04881632328033447, epochs needed: 200
evaluating individudal 38 - 694d58bf5e3253a8. Mean loss in evaluation epoch: 0.04195621237158775, epochs needed: 200
evaluating individudal 39 - d0d98c8fd25ec41d. Mean loss in evaluation epoch: 0.044051799923181534, epochs needed: 200
evaluating individudal 0 - 19f36eff10d22637. Mean loss in evaluation epoch: 0.05288267135620117, epochs needed: 200
evaluating individudal 1 - b4dafaeae60f5fb2. Mean loss in evaluation epoch: 0.04772261157631874, epochs needed: 200
evaluating individudal 2 - 5893f1f7560e648d. Mean loss in evaluation epoch: 0.049895789474248886, epochs needed: 200
evaluating individudal 3 - f37ea4f488b3820c. Mean loss in evaluation epoch: 0.05256146937608719, epochs needed: 200
evaluating individudal 4 - 873b06e231163d6b. Mean loss in evaluation epoch: 0.049537576735019684, epochs needed: 200
evaluating individudal 5 - 2106646505a80567. Mean loss in evaluation epoch: 0.050020959228277206, epochs needed: 200
evaluating individudal 6 - 40e3f8e3e3676443. Mean loss in evaluation epoch: 0.048183124512434006, epochs needed: 200
evaluating individudal 7 - 46aefc0acfe6cca0. Mean loss in evaluation epoch: 0.05149061605334282, epochs needed: 200
evaluating individudal 8 - 5a4a61000d44bb3b. Mean loss in evaluation epoch: 0.048681143671274185, epochs needed: 200
evaluating individudal 9 - a6e0e1853aba7785. Mean loss in evaluation epoch: 0.04852854833006859, epochs needed: 200
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 694d58bf5e3253a8, num_times_seen_before: 0
ACC: 0.5947368421052632
TPR/FPR: 0.7777777777777778, 0.44805194805194803
