num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - 6b9f8457e330ea43. Mean loss in evaluation epoch: 0.11782258749008179, epochs needed: 200
evaluating individudal 1 - fcd4b5eb7093a51c. Mean loss in evaluation epoch: 0.11656396836042404, epochs needed: 200
evaluating individudal 2 - 59dba9b7b9cb4ed4. Mean loss in evaluation epoch: 0.11690427362918854, epochs needed: 200
evaluating individudal 3 - d4fb6afd595b32a7. Mean loss in evaluation epoch: 0.11926114559173584, epochs needed: 200
evaluating individudal 4 - 0c93761571cd0d96. Mean loss in evaluation epoch: 0.13017280399799347, epochs needed: 200
evaluating individudal 5 - 8402a3f8574a8472. Mean loss in evaluation epoch: 0.11386962234973907, epochs needed: 200
evaluating individudal 6 - e75d1d2a465dac7a. Mean loss in evaluation epoch: 0.11642926931381226, epochs needed: 200
evaluating individudal 7 - 16d6120f2daeb857. Mean loss in evaluation epoch: 0.1299535483121872, epochs needed: 200
evaluating individudal 8 - 276ef6582203447a. Mean loss in evaluation epoch: 0.12903361022472382, epochs needed: 200
evaluating individudal 9 - 99bbbf1a55ec0612. Mean loss in evaluation epoch: 0.12688814103603363, epochs needed: 200
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 8402a3f8574a8472, num_times_seen_before: 0
ACC: 0.46842105263157896
TPR/FPR: 0.4722222222222222, 0.5324675324675324
Loss: 0.11386962234973907
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - ecac1249a8805354. Mean loss in evaluation epoch: 0.12474029511213303, epochs needed: 200
evaluating individudal 1 - dfaf1264cf64a8fa. Mean loss in evaluation epoch: 0.1262231171131134, epochs needed: 200
evaluating individudal 2 - 8647b702f8a75259. Mean loss in evaluation epoch: 0.12412115186452866, epochs needed: 200
evaluating individudal 3 - 47c1e40732930481. Mean loss in evaluation epoch: 0.11485874652862549, epochs needed: 200
evaluating individudal 4 - c02bf8ef24b93f69. Mean loss in evaluation epoch: 0.13084359467029572, epochs needed: 200
evaluating individudal 5 - 39507865b3a4f36c. Mean loss in evaluation epoch: 0.11529491096735, epochs needed: 200
evaluating individudal 6 - 06fbd9fd3a55c353. Mean loss in evaluation epoch: 0.11956019699573517, epochs needed: 200
evaluating individudal 7 - a12d191fe3a5ead9. Mean loss in evaluation epoch: 0.12644006311893463, epochs needed: 200
evaluating individudal 8 - 9b775acb2796b92a. Mean loss in evaluation epoch: 0.11886394023895264, epochs needed: 200
evaluating individudal 9 - 81354e41d7f49432. Mean loss in evaluation epoch: 0.12744691967964172, epochs needed: 200
evaluating individudal 10 - ee52cbb5eba3dd91. Mean loss in evaluation epoch: 0.1181914359331131, epochs needed: 200
evaluating individudal 11 - 164bb5c8750a7298. Mean loss in evaluation epoch: 0.11324670165777206, epochs needed: 200
evaluating individudal 12 - d8f721e830e82235. Mean loss in evaluation epoch: 0.11657463759183884, epochs needed: 200
evaluating individudal 13 - 6797be2e02e6abf2. Mean loss in evaluation epoch: 0.12106108665466309, epochs needed: 200
evaluating individudal 14 - fd43ed69315966b3. Mean loss in evaluation epoch: 0.11976843327283859, epochs needed: 200
evaluating individudal 15 - f57152e17667b85c. Mean loss in evaluation epoch: 0.11837746948003769, epochs needed: 200
evaluating individudal 16 - d11099fce6be24ec. Mean loss in evaluation epoch: 0.12123183161020279, epochs needed: 200
evaluating individudal 17 - 9ecf1a17986aa49c. Mean loss in evaluation epoch: 0.12536032497882843, epochs needed: 200
evaluating individudal 18 - 4fb6bed4a4e916ac. Mean loss in evaluation epoch: 0.13324394822120667, epochs needed: 200
evaluating individudal 19 - 9032aa5b906ae788. Mean loss in evaluation epoch: 0.11702507734298706, epochs needed: 200
evaluating individudal 20 - 3c570166d38d34a3. Mean loss in evaluation epoch: 0.12912364304065704, epochs needed: 200
evaluating individudal 21 - 77309940ffde1c22. Mean loss in evaluation epoch: 0.11611264944076538, epochs needed: 200
evaluating individudal 22 - 1b9bd11bbfb035e9. Mean loss in evaluation epoch: 0.12182817608118057, epochs needed: 200
evaluating individudal 23 - eac4171da4595502. Mean loss in evaluation epoch: 0.12272999435663223, epochs needed: 200
evaluating individudal 24 - 57f065c50f2be69c. Mean loss in evaluation epoch: 0.11540603637695312, epochs needed: 200
