num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - e78a65b70d3193a8. Mean loss in evaluation epoch: 0.1147635206580162, epochs needed: 200
evaluating individudal 1 - c590b92f8078d989. Mean loss in evaluation epoch: 0.1166762262582779, epochs needed: 200
evaluating individudal 2 - fd2e47980364863e. Mean loss in evaluation epoch: 0.11698053032159805, epochs needed: 200
evaluating individudal 3 - 9764b791a3f92b26. Mean loss in evaluation epoch: 0.120186448097229, epochs needed: 200
evaluating individudal 4 - f990328190da7c56. Mean loss in evaluation epoch: 0.11325085163116455, epochs needed: 200
evaluating individudal 5 - 0e4aeac190831969. Mean loss in evaluation epoch: 0.12881433963775635, epochs needed: 200
evaluating individudal 6 - 65431fb625d68a2a. Mean loss in evaluation epoch: 0.1330377161502838, epochs needed: 200
evaluating individudal 7 - e558069ae39897c9. Mean loss in evaluation epoch: 0.11731655895709991, epochs needed: 200
evaluating individudal 8 - 51dd6d1e8123e0ee. Mean loss in evaluation epoch: 0.11804821342229843, epochs needed: 200
evaluating individudal 9 - 991bad6b02d8a7ed. Mean loss in evaluation epoch: 0.11727914959192276, epochs needed: 200
Round 0 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: f990328190da7c56, num_times_seen_before: 0
ACC: 0.6
TPR/FPR: 0.5277777777777778, 0.38311688311688313
Loss: 0.11325085163116455
Timestamp: 0
---------------------------------------------------------------
evaluating individudal 0 - 265ffc7f599eaf77. Mean loss in evaluation epoch: 0.11345672607421875, epochs needed: 200
evaluating individudal 1 - 6036e6c2438d80a0. Mean loss in evaluation epoch: 0.11620565503835678, epochs needed: 200
evaluating individudal 2 - 21c6a00cba298ecd. Mean loss in evaluation epoch: 0.11797314882278442, epochs needed: 200
evaluating individudal 3 - ec6c57c55d3d99b6. Mean loss in evaluation epoch: 0.12744632363319397, epochs needed: 200
evaluating individudal 4 - 24eb44f1d9c7db36. Mean loss in evaluation epoch: 0.11514989286661148, epochs needed: 200
evaluating individudal 5 - 859e92931507afbe. Mean loss in evaluation epoch: 0.11884535849094391, epochs needed: 200
evaluating individudal 6 - 83fd9bbd0138db9b. Mean loss in evaluation epoch: 0.11383131891489029, epochs needed: 200
evaluating individudal 7 - c5a65a15bdde8eb0. Mean loss in evaluation epoch: 0.11467789858579636, epochs needed: 200
evaluating individudal 8 - 81e7f08263939ead. Mean loss in evaluation epoch: 0.12068404257297516, epochs needed: 200
evaluating individudal 9 - adad4841627140f6. Mean loss in evaluation epoch: 0.11326970905065536, epochs needed: 200
evaluating individudal 10 - c669d92e6ff6f9c8. Mean loss in evaluation epoch: 0.11310868710279465, epochs needed: 200
evaluating individudal 11 - 4ebfc701f27adec5. Mean loss in evaluation epoch: 0.11687328666448593, epochs needed: 200
evaluating individudal 12 - f9f40ff074da0974. Mean loss in evaluation epoch: 0.12492568790912628, epochs needed: 200
evaluating individudal 13 - e4f41a650a849c66. Mean loss in evaluation epoch: 0.117928147315979, epochs needed: 200
evaluating individudal 14 - 952af661dedcd9c0. Mean loss in evaluation epoch: 0.11954238265752792, epochs needed: 200
evaluating individudal 15 - 2ce038e228c93393. Mean loss in evaluation epoch: 0.1143738254904747, epochs needed: 200
evaluating individudal 16 - 3546b6e7c0210306. Mean loss in evaluation epoch: 0.12453687191009521, epochs needed: 200
